File_Name,Sweep,Segment_Type,Burst_Type,Duration,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv
cell107basal.abf,10,Burst,Parabolic,0.26290000000000013,-51.174335,5.626728,-63.827,22.454,4.0548205,49.48177,-13.461081,-1.0726274,8266.745,-70988.0,278010.0,16.190126,546.2772
cell107basal.abf,10,Burst,Parabolic,0.27809999999999846,-52.13234,5.7613206,-64.577,25.393,4.1095953,50.54569,-14.5056305,-9.108234,8352.554,-76929.5,300211.0,17.637419,648.4853
cell107basal.abf,10,Non-burst,Non-burst,0.3401000000000014,-50.62729,4.8958507,-62.607,24.267,5.5650115,78.88031,-17.225777,3.03442,7579.9375,-85686.0,290517.0,19.0164,738.40955
cell107basal.abf,10,Non-burst,Non-burst,0.33750000000000036,-51.12685,4.8167734,-63.17,22.454,5.1353827,73.02158,-17.262672,0.0,7447.548,-76930.0,270815.03,17.158548,634.9412
cell107basal.abf,10,Non-burst,Non-burst,1.6643000000000008,-52.182377,4.0729117,-66.61,25.393,5.170455,91.09896,-86.85473,1.9353557,6322.2207,-80682.99,324290.03,19.579342,898.31323
cell107basal.abf,10,Non-burst,Non-burst,5.478200000000001,-51.79687,3.2398608,-65.046,24.799,6.3824787,140.06409,-283.75732,-13.637689,5424.428,-92563.99,298024.0,19.34625,1038.159
cell107basal.abf,11,Non-burst,Non-burst,5.3941,-52.115063,3.0513277,-65.672,24.58,6.1407847,143.56407,-281.11713,16.169147,5322.338,-89127.0,322730.0,22.695356,1287.2523
cell107basal.abf,11,Burst,Parabolic,0.2030000000000003,-51.333443,6.4214106,-64.202,24.361,3.8082056,40.320656,-10.428061,-19.408867,9152.618,-80683.01,267070.0,13.89032,419.31125
cell107basal.abf,11,Burst,Parabolic,0.2970000000000006,-52.89908,5.3670597,-65.578,19.326,4.389869,55.188366,-15.718245,0.3164983,7831.6987,-85683.01,286458.0,17.02078,646.3546
cell107basal.abf,11,Non-burst,Non-burst,10.189699999999998,-52.204727,2.741446,-65.516,25.018,6.125936,152.41266,-531.9512,-2.685434,4750.963,-89127.0,324292.0,19.756857,1288.2245
cell107basal.abf,11,Non-burst,Non-burst,5.4161,-52.07211,2.9704373,-65.578,22.829,5.152587,118.224014,-282.03143,-12.771923,4695.498,-83183.01,312730.0,18.508945,1185.0173
cell107basal.abf,12,Non-burst,Non-burst,10.2266,-51.92226,3.101653,-65.453,23.454,5.605961,124.19169,-530.98645,6.250428,5152.4077,-91628.4,304280.0,20.733343,1130.6659
cell107basal.abf,12,Burst,Parabolic,0.28500000000000014,-52.498222,5.2253184,-64.984,21.578,4.108153,53.88683,-14.9639435,-14.489272,7703.2285,-85057.0,219845.02,14.514527,464.56454
cell107basal.abf,12,Burst,Parabolic,0.2713000000000001,-50.954132,5.6499276,-63.889,20.796,4.20029,50.228786,-13.830986,3.3431857,8067.9663,-72552.0,229222.0,14.716171,442.86115
cell107basal.abf,12,Non-burst,Non-burst,9.7601,-52.47151,2.4331472,-65.203,22.485,5.574451,154.89827,-512.1287,-0.8650602,4202.732,-85690.01,315220.0,19.567196,1401.6039
cell107basal.abf,12,Non-burst,Non-burst,0.956900000000001,-52.31207,3.9204843,-63.983,20.796,4.994774,83.98972,-50.061005,-77.87856,5395.8306,-73801.01,238297.02,13.584139,714.7265
cell107basal.abf,13,Non-burst,Non-burst,0.5254,-50.555252,2.1849008,-54.601,23.423,13.734763,414.39557,-26.565273,146.65968,5721.9727,-9070.016,300840.0,32.08532,1551.9454
cell107basal.abf,13,Burst,Other,0.2915,-50.679565,5.2034936,-62.732,23.423,3.2667146,42.725914,-14.774305,-77.59066,7093.845,-81303.01,240800.81,12.147007,489.27695
cell107basal.abf,13,Non-burst,Non-burst,20.683,-52.594578,2.3847141,-65.422,22.047,5.886942,161.5068,-1087.8171,-3.4201038,4058.8887,-87566.01,310840.0,16.784346,1192.2178
cell107basal.abf,14,Non-burst,Non-burst,9.5038,-53.02395,1.9084969,-65.14,22.86,5.9735794,195.1972,-503.9328,8.038678,3744.6755,-84435.01,248927.02,15.268982,1015.4337
cell107basal.abf,14,Burst,Other,0.5421999999999993,-51.6353,5.3498926,-65.109,22.86,3.7996628,48.141045,-27.997917,-37.842846,7634.1377,-85061.2,278640.0,15.786655,594.45514
cell107basal.abf,14,Non-burst,Non-burst,11.4539,-52.546555,2.4350252,-64.671,25.706,6.360564,174.86241,-601.8666,-6.4298635,4130.2095,-94440.01,322730.0,17.749832,1311.9448
cell209basal.abf,0,Non-burst,Non-burst,21.4999,-60.12107,0.86104226,-62.513,-55.665,0.4923308,0.23317528,-1292.5969,-0.048000287,1518.3801,-12200.013,13129.998,0.026156504,0.65582395
cell209basal.abf,1,Non-burst,Non-burst,9.1189,-60.89841,1.1091561,-62.982,44.907,18.65023,1161.5248,-555.3317,11.656559,2255.1528,-10939.9795,369013.03,88.59501,14051.144
cell209basal.abf,1,Burst,Other,0.09299999999999997,-44.213627,11.117139,-60.387,44.907,5.228828,34.42481,-4.1206245,-33.29032,33787.23,-200145.0,397160.0,3.9231455,66.77826
cell209basal.abf,1,Non-burst,Non-burst,12.288,-61.220257,0.9701507,-63.483,41.811,28.649931,2629.9365,-752.27954,-8.4313965,1805.2314,-179190.02,12190.018,-27.07679,2305.572
cell209basal.abf,2,Non-burst,Non-burst,21.4999,-62.513702,0.92049176,-64.921,-57.854,0.69032514,0.2911818,-1344.0385,-0.061116192,1439.7542,-12820.016,11259.995,0.034453277,0.5653672
cell209basal.abf,3,Non-burst,Non-burst,5.6054,-63.370525,1.2996933,-65.328,40.842,27.009102,1692.4867,-355.22235,18.533379,2513.3076,-12200.013,354002.0,89.80175,12186.14
cell209basal.abf,3,Burst,Other,0.05489999999999995,-40.442303,16.293037,-58.354,40.842,3.123143,10.846633,-2.2281199,-105.95628,51340.914,-197012.02,358690.0,1.9845603,19.01267
cell209basal.abf,3,Non-burst,Non-burst,15.8396,-62.915745,1.1520473,-65.109,35.025,13.490027,730.2453,-996.565,-6.2388577,1635.6667,-156359.02,10950.013,-19.56841,1597.1135
cell209basal.abf,4,Non-burst,Non-burst,10.9038,-62.99426,1.0568594,-65.484,37.308,23.537987,1756.893,-686.88184,9.14617,1980.9858,-12509.995,343683.03,75.8578,12232.687
cell209basal.abf,4,Burst,Square Wave,0.08689999999999998,-41.153797,12.90198,-57.885,37.308,3.8292406,17.641394,-3.5839486,-37.422325,38461.793,-176062.02,333051.0,2.2986822,29.387215
cell209basal.abf,4,Burst,Square Wave,0.08419999999999916,-41.5279,13.170979,-57.885,37.496,3.7959309,17.147104,-3.4999967,-95.56465,39216.11,-169497.98,352747.0,2.4782257,30.192795
cell209basal.abf,4,Non-burst,Non-burst,6.532299999999999,-62.662785,1.4876909,-65.265,37.496,21.886145,1095.094,-409.34195,0.5266139,2595.9714,-146042.0,370580.0,45.996586,8018.8926
cell209basal.abf,4,Non-burst,Non-burst,3.8927000000000014,-62.369823,1.4446951,-65.265,34.65,23.054453,1236.4377,-242.79185,-24.90405,2161.6228,-144790.02,12509.995,-32.26958,1938.5306
cell209basal.abf,5,Non-burst,Non-burst,17.338,-63.313553,0.9182438,-65.265,36.151,15.97642,1215.4844,-1097.7354,5.7519903,1769.4545,-13130.036,378390.03,67.03575,13205.29
cell209basal.abf,5,Burst,Other,0.08039999999999736,-40.26079,14.1128845,-57.166,36.151,3.3670173,12.930968,-3.2402215,-89.96256,41576.973,-160736.02,296770.03,2.0806925,21.402523
