UMAP1,UMAP2,Burst_Type
7.417396,13.497624,Parabolic
7.3512893,13.502855,Parabolic
4.4935756,8.718051,Parabolic
6.448838,12.523331,Parabolic
3.213556,8.213686,Parabolic
6.2612243,12.621583,Parabolic
9.33363,5.3189945,Non-burst
6.7596726,8.634149,Non-burst
6.046014,8.270922,Non-burst
9.350305,5.360847,Non-burst
7.564749,6.7190948,Non-burst
9.036326,5.3749647,Non-burst
6.647753,8.812416,Non-burst
7.7049966,13.367215,Parabolic
5.4072137,7.9528008,Parabolic
7.542312,13.535971,Parabolic
5.7452946,8.024191,Parabolic
6.42644,12.211045,Parabolic
6.4072437,12.07719,Parabolic
7.338233,7.4985905,Non-burst
7.18835,7.5875087,Non-burst
7.698857,13.369083,Non-burst
6.6757574,8.71097,Non-burst
5.7546186,7.8710146,Non-burst
7.3643785,5.8289165,Non-burst
5.551689,8.012692,Non-burst
7.495709,13.414832,Parabolic
7.4575086,13.44613,Parabolic
6.3425155,12.23756,Parabolic
6.9559,13.15502,Parabolic
6.0033264,9.355403,Parabolic
