spike,spike_index,spike_time,inst_freq,isi_s,width,rise_half_ms,decay_half_ms,spike_peak,spike_amplitude
122,109426,10.9426,2.0859407592824364,0.4794,0.630842545205087,0.12808457645587623,0.5027579687492107,44.1879997253418,106.79499816894531
123,116247,11.6247,1.4660606949127692,0.6821,0.598557464282203,0.14254959630634403,0.45600786797585896,47.34600067138672,110.11000061035156
124,167984,16.7984,0.1932852697295939,5.1737,0.5279614911327372,0.15840221522958017,0.36955927590315696,49.191001892089844,112.36100006103516
125,168053,16.8053,144.92753623188406,0.0069,0.5483959058707114,0.17375602028914727,0.37463988558156414,45.31399917602539,106.60799789428711
126,168131,16.8131,128.2051282051282,0.0078,0.5588954141712748,0.13989708548469934,0.4189983286865754,44.1879997253418,103.69900131225586
127,168225,16.8225,106.38297872340425,0.0094,0.5830522323929472,0.16518126102164388,0.4178709713713033,43.125,102.19800186157227
128,168351,16.8351,79.36507936507937,0.0126,0.587868775863899,0.21105554998503068,0.37681322587886823,40.935001373291016,98.91400146484375
129,168508,16.8508,63.69426751592357,0.0157,0.6008198051800718,0.17527743311657104,0.4255423720635008,41.06100082397461,99.41500091552734
130,168727,16.8727,45.662100456621005,0.0219,0.6153592555056093,0.17281364641094116,0.44254560909466817,41.15399932861328,100.16500091552734
131,169104,16.9104,26.525198938992045,0.0377,0.5995701207371894,0.23399542408878915,0.36557469664840025,40.685001373291016,100.13400268554688
132,169480,16.948,26.595744680851062,0.0376,0.6189255634933943,0.2445753501582658,0.3743502133351285,40.685001373291016,101.22800064086914
133,169895,16.9895,24.096385542168672,0.0415,0.5944825062557356,0.20496858131082263,0.389513924944913,41.59199905395508,102.47900009155273
134,170200,17.02,32.78688524590164,0.0305,0.6139576374611352,0.18901896923198364,0.4249386682291515,41.68600082397461,102.82300186157227
135,170511,17.0511,32.154340836012864,0.0311,0.6322733563400107,0.23328785969642923,0.3989854966435814,40.12200164794922,100.19600296020508
136,170854,17.0854,29.15451895043732,0.0343,0.6172354718815768,0.17491125707747415,0.44232421480410267,41.404998779296875,101.66699981689453
137,171203,17.1203,28.653295128939828,0.0349,0.6229974002169911,0.1918353399843909,0.4311620602326002,41.68600082397461,102.82300186157227
138,171496,17.1496,34.129692832764505,0.0293,0.6288018372346414,0.2314979933667928,0.3973038438678486,40.52899932861328,100.63399887084961
139,171807,17.1807,32.154340836012864,0.0311,0.6374751735973405,0.1603361143177608,0.47713905927957967,40.340999603271484,100.79000091552734
140,172143,17.2143,29.761904761904763,0.0336,0.6387890868092654,0.24635421118000522,0.3924348756292602,40.185001373291016,99.94600296020508
141,172494,17.2494,28.49002849002849,0.0351,0.6350912990572397,0.1621451025479473,0.47294619650929237,40.24700164794922,100.66500091552734
142,172889,17.2889,25.31645569620253,0.0395,0.6199066098342882,0.1899999990244396,0.42990661080984865,41.43600082397461,102.13600158691406
143,173300,17.33,24.330900243309003,0.0411,0.6236560742690926,0.19481402248202356,0.4288420517870691,41.06100082397461,101.41699981689453
144,173664,17.3664,27.47252747252747,0.0364,0.6235182065371191,0.1904652253520908,0.43305298118502833,41.43600082397461,102.35400009155273
145,174020,17.402,28.08988764044944,0.0356,0.6243871859449428,0.22499863922712393,0.3993885467178188,41.09199905395508,101.29100036621094
146,174414,17.4414,25.38071065989848,0.0394,0.6430134385940619,0.2413290290685836,0.40168440952547824,40.40399932861328,100.60300064086914
147,174805,17.4805,25.57544757033248,0.0391,0.6351110830961261,0.17570801249239593,0.45940307060373015,41.18600082397461,101.41600036621094
148,175178,17.5178,26.80965147453083,0.0373,0.6304717962979339,0.1798687533737393,0.4506030429241946,41.37300109863281,101.91600036621094
149,175548,17.5548,27.027027027027028,0.037,0.6464279314648593,0.16401951733569148,0.4824084141291678,40.185001373291016,100.25900268554688
150,175948,17.5948,25.0,0.04,0.645175696266233,0.17363936117035336,0.4715363350958796,40.340999603271484,100.44599914550781
151,176274,17.6274,30.674846625766875,0.0326,0.6469847085012589,0.17323056769673711,0.4737541408045217,40.590999603271484,100.63399887084961
152,176663,17.6663,25.706940874035993,0.0389,0.6408551149244885,0.19262399353319778,0.4482311213912908,40.685001373291016,100.85300064086914
153,177056,17.7056,25.44529262086514,0.0393,0.639889644595678,0.22330421849619597,0.416585426099482,40.77899932861328,100.9469985961914
154,177432,17.7432,26.595744680851062,0.0376,0.6507338719209657,0.17292638267972507,0.47780748924124056,40.77899932861328,100.9469985961914
155,177767,17.7767,29.850746268656714,0.0335,0.6494045693805675,0.22147993503604085,0.42792463434452654,40.71699905395508,100.47800064086914
156,178200,17.82,23.094688221709006,0.0433,0.6483785556105431,0.1775320166198071,0.47084653899073603,40.935001373291016,101.04000091552734
157,178594,17.8594,25.38071065989848,0.0394,0.6439991787396139,0.19243525516358204,0.4515639235760318,41.18600082397461,101.54199981689453
158,178933,17.8933,29.498525073746315,0.0339,0.6367614079616033,0.20264151076844428,0.43411989719315897,40.935001373291016,100.54000091552734
159,179309,17.9309,26.595744680851062,0.0376,0.6504249364195858,0.2287690787925385,0.4216558576270472,40.15399932861328,99.79000091552734
160,179693,17.9693,26.041666666666668,0.0384,0.6551055303396425,0.23734639019239695,0.41775914014724547,40.060001373291016,99.82100296020508
161,180114,18.0114,23.752969121140143,0.0421,0.653351773126633,0.23049015570431947,0.42286161742231343,40.27899932861328,100.38399887084961
162,180549,18.0549,22.98850574712644,0.0435,0.6529093963239575,0.23713992872508244,0.41576946759887506,40.49800109863281,100.66600036621094
163,180970,18.097,23.752969121140143,0.0421,0.6661257171392208,0.1695694898691727,0.4965562272700481,39.87200164794922,99.88400268554688
164,181456,18.1456,20.5761316872428,0.0486,0.6303453736822121,0.20893197061668617,0.42141340306552594,41.27899932861328,101.60300064086914
165,181873,18.1873,23.980815347721823,0.0417,0.6355853903165553,0.19965363874216563,0.4359317515743896,41.31100082397461,101.79199981689453
166,182304,18.2304,23.20185614849188,0.0431,0.6581622481928207,0.17016912114049773,0.48799312705232295,40.24700164794922,100.79000091552734
167,182731,18.2731,23.419203747072597,0.0427,0.6558615288871806,0.24303410096326844,0.4128274279239122,40.185001373291016,100.29000091552734
168,183147,18.3147,24.03846153846154,0.0416,0.6670810612180503,0.17130791896488518,0.49577314225316516,40.340999603271484,100.41500091552734
169,183637,18.3637,20.408163265306122,0.049,0.6450911897729383,0.18392570860451088,0.4611654811684275,41.27899932861328,101.5719985961914
170,184053,18.4053,24.03846153846154,0.0416,0.6455431331094588,0.17411823954607825,0.47142489356338046,40.84199905395508,100.8219985961914
171,184513,18.4513,21.73913043478261,0.046,0.6365787180810003,0.19960786375741008,0.4369708543235902,41.34199905395508,102.1349983215332
172,185029,18.5029,19.37984496124031,0.0516,0.6451230261358433,0.19984494208765682,0.4452780840481864,41.21699905395508,101.6349983215332
173,185498,18.5498,21.321961620469086,0.0469,0.667106918033096,0.26343108266883064,0.4036758353642654,39.74700164794922,100.63400268554688
174,186003,18.6003,19.801980198019802,0.0505,0.6610437666851794,0.25774265758227555,0.40330110910290384,40.185001373291016,100.41500091552734
175,186530,18.653,18.975332068311197,0.0527,0.6593949055270059,0.2463732545322273,0.4130216509947786,40.77899932861328,101.6969985961914
176,186975,18.6975,22.471910112359552,0.0445,0.6558980276779038,0.17556214073847515,0.48033588693942875,40.810001373291016,101.07200241088867
177,187559,18.7559,17.123287671232877,0.0584,0.6502272801735671,0.24793930222804192,0.4022879779455252,41.15399932861328,102.197998046875
178,188090,18.809,18.832391713747647,0.0531,0.6545423158560879,0.18026572906819638,0.4742765867878916,41.12300109863281,102.13500213623047
179,188704,18.8704,16.286644951140065,0.0614,0.6466691004461609,0.19313803930708673,0.45353106113907415,41.62300109863281,102.85400009155273
180,189316,18.9316,16.339869281045754,0.0612,0.6541668654390378,0.1760639520827681,0.4781029133562697,41.43600082397461,102.57300186157227
181,189860,18.986,18.38235294117647,0.0544,0.6417708415043307,0.21091962554492055,0.43085121595941017,40.810001373291016,101.72800064086914
182,190594,19.0594,13.623978201634877,0.0734,0.6401323120488087,0.18932256511470769,0.450809746934101,42.529998779296875,104.26199722290039
